atrybut1,atrybut2,klasa
61,31,klasa 3
66,18,klasa 3
69,14,klasa 3
72,2,klasa 3
62,-3,klasa 3
62,3,klasa 3
59,-1,klasa 3
55,8,klasa 3
52,7,klasa 3
48,10,klasa 3
45,16,klasa 3
37,32,klasa 3
40,28,klasa 3
41,21,klasa 3
34,35,klasa 3
37,26,klasa 3
31,34,klasa 3
27,42,klasa 3
20,48,klasa 3
14,55,klasa 3
7,62,klasa 3
4,78,klasa 3
17,86,klasa 3
26,78,klasa 3
33,68,klasa 3
43,52,klasa 3
47,49,klasa 3
52,43,klasa 3
57,32,klasa 3
63,22,klasa 3
70,9,klasa 3
72,0,klasa 3
67,-1,klasa 3
59,6,klasa 3
53,12,klasa 3
59,25,klasa 3
56,32,klasa 3
49,18,klasa 3
51,36,klasa 3
49,41,klasa 3
47,24,klasa 3
46,39,klasa 3
45,44,klasa 3
43,48,klasa 3
40,49,klasa 3
36,40,klasa 3
37,47,klasa 3
33,64,klasa 3
30,53,klasa 3
24,50,klasa 3
30,48,klasa 3
36,44,klasa 3
39,53,klasa 3
33,57,klasa 3
18,79,klasa 3
24,73,klasa 3
30,66,klasa 3
27,69,klasa 3
23,77,klasa 3
16,57,klasa 3
7,72,klasa 3
10,65,klasa 3
20,53,klasa 3
9,69,klasa 3
15,61,klasa 3
24,86,klasa 3
12,83,klasa 3
16,79,klasa 3
19,77,klasa 3
24,67,klasa 3
29,58,klasa 3
26,55,klasa 3
21,71,klasa 3
18,68,klasa 3
20,67,klasa 3
16,72,klasa 3
16,76,klasa 3
11,76,klasa 3
11,81,klasa 3
8,79,klasa 3
12,73,klasa 3
14,70,klasa 3
18,71,klasa 3
13,77,klasa 3
18,72,klasa 3
16,65,klasa 3
19,62,klasa 3
23,62,klasa 3
22,67,klasa 3
28,63,klasa 3
27,61,klasa 3
24,58,klasa 3
68,5,klasa 3
64,9,klasa 3
64,13,klasa 3
66,11,klasa 3
65,5,klasa 3
63,16,klasa 3
59,13,klasa 3
62,10,klasa 3
61,21,klasa 3
58,20,klasa 3
60,15,klasa 3
57,17,klasa 3
56,21,klasa 3
56,26,klasa 3
51,29,klasa 3
53,24,klasa 3
53,29,klasa 3
50,33,klasa 3
48,35,klasa 3
45,35,klasa 3
43,40,klasa 3
42,45,klasa 3
42,43,klasa 3
40,38,klasa 3
39,41,klasa 3
37,37,klasa 3
42,32,klasa 3
44,28,klasa 3
46,30,klasa 3
50,27,klasa 3
50,25,klasa 3
52,22,klasa 3
53,20,klasa 3
61,82,klasa 2
54,17,klasa 3
56,13,klasa 1
7,91,klasa 1
7,89,klasa 1
84,28,klasa 1
80,29,klasa 1
79,24,klasa 1
82,43,klasa 1
80,40,klasa 1
73,36,klasa 1
70,30,klasa 1
70,38,klasa 1
72,47,klasa 1
73,51,klasa 1
76,50,klasa 1
80,48,klasa 1
83,51,klasa 1
87,52,klasa 1
90,46,klasa 1
93,43,klasa 1
96,37,klasa 1
94,31,klasa 1
92,28,klasa 1
94,20,klasa 1
90,15,klasa 1
88,12,klasa 1
85,12,klasa 1
82,15,klasa 1
79,13,klasa 1
79,15,klasa 1
78,17,klasa 1
74,17,klasa 1
72,20,klasa 1
71,24,klasa 1
69,26,klasa 1
72,32,klasa 1
72,42,klasa 1
72,43,klasa 1
77,41,klasa 1
78,46,klasa 1
80,46,klasa 1
83,45,klasa 1
86,46,klasa 1
88,45,klasa 1
88,39,klasa 1
91,39,klasa 1
91,35,klasa 1
87,33,klasa 1
84,34,klasa 1
83,39,klasa 1
80,35,klasa 1
80,31,klasa 1
83,31,klasa 1
90,31,klasa 1
90,27,klasa 1
90,22,klasa 1
88,18,klasa 1
85,18,klasa 1
86,22,klasa 1
87,25,klasa 1
83,25,klasa 1
79,26,klasa 1
77,29,klasa 1
76,34,klasa 1
75,37,klasa 1
73,31,klasa 1
73,25,klasa 1
76,21,klasa 1
81,20,klasa 1
39,30,klasa 2
42,82,klasa 2
56,74,klasa 2
23,45,klasa 2
58,92,klasa 2
56,95,klasa 2
60,95,klasa 2
63,94,klasa 2
60,90,klasa 2
49,84,klasa 2
51,85,klasa 2
55,91,klasa 2
56,90,klasa 2
59,88,klasa 2
59,84,klasa 2
57,81,klasa 2
55,80,klasa 2
55,86,klasa 2
54,84,klasa 2
51,82,klasa 2
50,80,klasa 2
53,79,klasa 2
50,76,klasa 2
50,71,klasa 2
46,71,klasa 2
46,73,klasa 2
47,77,klasa 2
45,74,klasa 2
42,70,klasa 2
44,70,klasa 2
45,67,klasa 2
42,61,klasa 2
42,66,klasa 2
39,66,klasa 2
37,61,klasa 2
39,62,klasa 2
35,59,klasa 2
38,56,klasa 2
35,52,klasa 2
36,55,klasa 2
33,56,klasa 2
31,50,klasa 2
32,51,klasa 2
34,48,klasa 2
32,43,klasa 2
29,40,klasa 2
29,47,klasa 2
31,45,klasa 2
27,35,klasa 2
23,35,klasa 2
26,41,klasa 2
20,37,klasa 2
20,33,klasa 2
24,27,klasa 2
20,27,klasa 2
17,26,klasa 2
16,31,klasa 2
14,24,klasa 2
17,24,klasa 2
16,20,klasa 2
11,21,klasa 2
14,18,klasa 2
10,16,klasa 2
11,12,klasa 2
7,11,klasa 2
6,6,klasa 2
