atrybut1,atrybut2,klasa
66,76,klasa 3
30,5,klasa 3
77,76,klasa 1
25,89,klasa 1
33,92,klasa 1
64,92,klasa 1
48,60,klasa 1
56,68,klasa 1
34,58,klasa 1
22,64,klasa 1
7,52,klasa 2
7,42,klasa 2
11,47,klasa 2
30,36,klasa 2
36,20,klasa 2
58,16,klasa 3
58,33,klasa 3
71,48,klasa 3
98,52,klasa 3
75,40,klasa 3
80,39,klasa 3
93,29,klasa 3
87,34,klasa 3
81,33,klasa 3
82,30,klasa 3
85,30,klasa 3
89,27,klasa 3
83,18,klasa 3
91,14,klasa 3
81,8,klasa 3
69,6,klasa 3
74,8,klasa 3
69,13,klasa 3
65,11,klasa 3
64,24,klasa 3
69,34,klasa 3
76,32,klasa 3
77,27,klasa 3
80,25,klasa 3
87,21,klasa 3
80,15,klasa 3
83,13,klasa 3
79,20,klasa 3
76,20,klasa 3
73,25,klasa 3
69,26,klasa 3
67,21,klasa 3
71,20,klasa 3
69,10,klasa 1
84,25,klasa 1
1,27,klasa 1
34,12,klasa 1
59,82,klasa 1
60,78,klasa 1
65,83,klasa 1
38,65,klasa 1
40,61,klasa 1
45,67,klasa 1
49,70,klasa 1
56,74,klasa 1
54,93,klasa 1
57,83,klasa 1
57,87,klasa 1
49,91,klasa 1
53,86,klasa 1
48,81,klasa 1
54,77,klasa 1
52,76,klasa 1
45,81,klasa 1
47,87,klasa 1
42,88,klasa 1
37,84,klasa 1
37,75,klasa 1
46,74,klasa 1
50,72,klasa 1
43,70,klasa 1
41,82,klasa 1
36,72,klasa 1
34,81,klasa 1
27,78,klasa 1
27,74,klasa 1
33,69,klasa 1
38,69,klasa 1
40,40,klasa 2
82,58,klasa 2
75,12,klasa 2
39,76,klasa 2
32,75,klasa 2
27,15,klasa 2
28,11,klasa 2
27,22,klasa 2
28,28,klasa 2
23,25,klasa 2
22,35,klasa 2
16,37,klasa 2
10,34,klasa 2
20,14,klasa 2
23,15,klasa 2
13,8,klasa 2
23,9,klasa 2
24,21,klasa 2
21,30,klasa 2
16,33,klasa 2
13,25,klasa 2
16,24,klasa 2
20,20,klasa 2
12,29,klasa 2
12,18,klasa 2
15,14,klasa 2
7,26,klasa 2
8,22,klasa 2
11,11,klasa 2
6,15,klasa 2
6,10,klasa 2
