atrybut1,atrybut2,klasa
32,62,klasa 1
34,64,klasa 1
36,66,klasa 1
38,64,klasa 1
41,61,klasa 1
46,55,klasa 1
48,52,klasa 1
51,48,klasa 1
52,47,klasa 1
52,40,klasa 1
49,37,klasa 1
40,34,klasa 1
41,28,klasa 1
42,28,klasa 1
45,30,klasa 1
46,35,klasa 1
47,44,klasa 1
49,45,klasa 1
46,49,klasa 1
43,53,klasa 1
41,55,klasa 1
40,57,klasa 1
37,59,klasa 1
35,59,klasa 1
31,57,klasa 1
33,53,klasa 1
36,55,klasa 1
40,52,klasa 1
40,50,klasa 1
42,44,klasa 1
45,41,klasa 1
42,35,klasa 1
42,34,klasa 1
28,36,klasa 1
25,41,klasa 1
25,52,klasa 1
26,48,klasa 1
28,40,klasa 1
34,31,klasa 1
36,34,klasa 1
39,43,klasa 1
38,44,klasa 1
38,46,klasa 1
36,51,klasa 1
34,50,klasa 1
33,46,klasa 1
36,44,klasa 1
36,40,klasa 1
34,39,klasa 1
32,42,klasa 1
30,45,klasa 1
31,49,klasa 1
67,29,klasa 2
72,22,klasa 2
68,7,klasa 2
90,15,klasa 2
83,10,klasa 2
64,21,klasa 2
59,25,klasa 2
52,14,klasa 2
61,3,klasa 2
60,14,klasa 2
47,21,klasa 2
45,4,klasa 2
42,13,klasa 2
38,23,klasa 2
27,19,klasa 2
38,8,klasa 2
27,8,klasa 2
22,19,klasa 2
14,16,klasa 2
16,5,klasa 2
7,18,klasa 2
8,44,klasa 2
19,32,klasa 2
14,25,klasa 2
8,31,klasa 2
24,60,klasa 2
15,55,klasa 2
14,44,klasa 2
8,82,klasa 2
13,75,klasa 2
7,61,klasa 2
17,89,klasa 2
3,88,klasa 2
22,76,klasa 2
33,74,klasa 2
69,42,klasa 2
75,37,klasa 2
83,28,klasa 2
92,23,klasa 2
96,28,klasa 2
87,37,klasa 2
85,48,klasa 2
95,63,klasa 2
96,88,klasa 2
87,90,klasa 2
78,96,klasa 2
65,90,klasa 2
59,95,klasa 2
37,92,klasa 2
51,73,klasa 2
54,78,klasa 2
71,64,klasa 2
63,74,klasa 2
65,62,klasa 2
81,82,klasa 2
91,84,klasa 2
91,49,klasa 2
78,42,klasa 2
60,47,klasa 2
64,67,klasa 2
79,58,klasa 2
92,44,klasa 2
88,68,klasa 2
77,92,klasa 2
62,85,klasa 2
58,69,klasa 2
68,54,klasa 2
47,84,klasa 2
28,83,klasa 2
42,77,klasa 2
23,98,klasa 2
49,62,klasa 2
67,83,klasa 2
51,90,klasa 2
77,70,klasa 2
92,94,klasa 2
