atrybut1,atrybut2,klasa
86,84,klasa 3
6,22,klasa 3
87,71,klasa 3
67,33,klasa 3
11,3,klasa 1
68,5,klasa 1
23,18,klasa 1
42,2,klasa 2
76,74,klasa 2
46,51,klasa 2
37,49,klasa 2
32,72,klasa 2
16,55,klasa 3
88,1,klasa 3
86,7,klasa 3
86,5,klasa 3
84,2,klasa 3
84,1,klasa 3
83,7,klasa 3
82,4,klasa 3
80,4,klasa 3
79,7,klasa 3
71,9,klasa 3
76,6,klasa 3
76,2,klasa 3
73,3,klasa 3
73,5,klasa 3
69,9,klasa 3
70,4,klasa 3
54,3,klasa 3
56,5,klasa 3
59,8,klasa 3
64,10,klasa 3
66,6,klasa 3
67,3,klasa 3
66,4,klasa 3
65,5,klasa 3
63,5,klasa 3
63,7,klasa 3
53,4,klasa 3
59,6,klasa 3
51,8,klasa 3
61,3,klasa 3
43,8,klasa 3
43,8,klasa 3
47,5,klasa 3
30,10,klasa 3
36,10,klasa 3
38,2,klasa 3
26,8,klasa 3
31,4,klasa 3
35,5,klasa 3
22,7,klasa 3
25,2,klasa 3
20,5,klasa 3
16,6,klasa 3
14,3,klasa 3
10,8,klasa 3
7,3,klasa 3
82,29,klasa 1
86,29,klasa 1
78,15,klasa 1
83,43,klasa 1
85,43,klasa 1
88,56,klasa 1
83,65,klasa 1
82,81,klasa 1
78,95,klasa 1
66,90,klasa 1
72,80,klasa 1
75,67,klasa 1
63,68,klasa 1
71,58,klasa 1
77,53,klasa 1
76,44,klasa 1
68,49,klasa 1
65,41,klasa 1
74,35,klasa 1
63,25,klasa 1
55,24,klasa 1
58,36,klasa 1
63,58,klasa 1
64,80,klasa 1
53,89,klasa 1
43,93,klasa 1
38,76,klasa 1
46,80,klasa 1
50,79,klasa 1
56,73,klasa 1
56,59,klasa 1
61,45,klasa 1
48,40,klasa 1
40,55,klasa 1
35,65,klasa 1
36,86,klasa 1
48,69,klasa 1
50,54,klasa 1
43,67,klasa 1
27,26,klasa 2
29,26,klasa 2
32,26,klasa 2
32,34,klasa 2
29,36,klasa 2
28,34,klasa 2
30,28,klasa 2
30,39,klasa 2
32,45,klasa 2
25,52,klasa 2
20,52,klasa 2
23,50,klasa 2
25,48,klasa 2
26,46,klasa 2
25,55,klasa 2
18,50,klasa 2
14,50,klasa 2
9,49,klasa 2
5,36,klasa 2
7,33,klasa 2
10,39,klasa 2
7,40,klasa 2
5,36,klasa 2
4,27,klasa 2
6,28,klasa 2
10,27,klasa 2
10,22,klasa 2
11,20,klasa 2
13,22,klasa 2
16,22,klasa 2
17,21,klasa 2
19,19,klasa 2
21,22,klasa 2
22,22,klasa 2
25,22,klasa 2
25,37,klasa 2
26,41,klasa 2
27,41,klasa 2
25,36,klasa 2
26,34,klasa 2
26,30,klasa 2
24,26,klasa 2
24,29,klasa 2
24,31,klasa 2
24,38,klasa 2
23,43,klasa 2
21,40,klasa 2
22,46,klasa 2
19,46,klasa 2
14,46,klasa 2
11,46,klasa 2
11,43,klasa 2
14,43,klasa 2
12,48,klasa 2
7,44,klasa 2
11,41,klasa 2
17,42,klasa 2
19,42,klasa 2
21,32,klasa 2
22,34,klasa 2
23,39,klasa 2
19,24,klasa 2
20,26,klasa 2
20,34,klasa 2
19,36,klasa 2
13,38,klasa 2
16,39,klasa 2
16,29,klasa 2
17,29,klasa 2
18,31,klasa 2
15,34,klasa 2
16,26,klasa 2
15,25,klasa 2
13,31,klasa 2
12,37,klasa 2
10,38,klasa 2
10,36,klasa 2
11,32,klasa 2
12,27,klasa 2
9,29,klasa 2
9,34,klasa 2
